registerNum,country1,country2,dateBegan,dateEnded,durationDays,peopleDead,peopleDisplaced,damageUsd,mainCause1,mainCause2,mainCause3,severity,affectedSqKm,magnitude,centroidX,centroidY
4319,United Kingdom,Ireland,12/5/2015,1/6/2016,33,3,64000,,Heavy Rain,,,extreme,36750.19,6.384803524,-2.77486,54.9868
4318,Philippines,,12/12/2015,1/6/2016,26,40,20000,,Hurricane/Tropical Storm,,,very large,6147.67,5.379775154,121.229,12.8357
4317,Kenya,,12/1/2015,1/6/2016,37,112,100000,,Heavy Rain,,,very large,103769.52,6.760362791,39.5133,-2.03643
4316,Australia,,12/23/2015,1/6/2016,15,0,0,,Heavy Rain,,,large,66654.94,5.999923601,152.121,-30.3571
4315,Paraguay,Uruguay,12/1/2015,1/6/2016,37,12,170000,,Heavy Rain,,,extreme,574056.99,7.628186729,-55.8482,-26.0369
4314,United States,,12/15/2015,1/6/2016,23,31,4000,,Heavy Rain,,,extreme,526834.76,7.384432253,-91.0829,35.6658
4313,Albania,,11/21/2015,12/4/2015,14,1,300,,Heavy Rain,,,large,11409.69,5.203401881,19.9659,41.2871
4312,Maldives,,11/25/2015,12/4/2015,10,0,0,,Heavy Rain,,,very large,6371.38,4.980324767,73.1892,-0.144295
4311,United States,,11/26/2015,12/4/2015,9,14,300,,Heavy Rain,,,large,439381.83,6.597084603,-100.238,33.9839
4310,Qatar,Saudi Arabia,11/25/2015,12/4/2015,10,1,0,,Heavy Rain,,,large,402659.81,6.604938284,51.885,21.6586
4309,India,,11/10/2015,12/4/2015,25,180,400000,,Hurricane/Tropical Storm,,,extreme,93202.05,6.668395469,78.8554,11.8278
4308,Indonesia,,10/23/2015,10/28/2015,6,0,4000,,Heavy Rain,,,large,56237.12,5.528174322,98.4028,3.66137
4307,Greece,Macedonia,10/21/2015,10/28/2015,8,1,0,,Heavy Rain,,,large,129124.64,6.014099111,21.698,39.7609
4306,Bahamas,,10/2/2015,10/8/2015,7,0,300,,Hurricane/Tropical Storm,,,very large,4639.41,4.687652053,-73.8324,22.4916
