registerNum,country1,country2,dateBegan,dateEnded,durationDays,peopleDead,peopleDisplaced,damageUsd,mainCause1,mainCause2,mainCause3,severity,affectedSqKm,magnitude,centroidX,centroidY,GDPmil,GDPrank,Income Group OECD,Region,Land Area
4319,United Kingdom,Ireland,12/5/15,1/6/16,33,3,64000,,Heavy Rain,,,extreme,36750.19,6.384803524,-2.77486,54.9868,2988893,5,High income: OECD,Europe & Central Asia,243610
4318,Philippines,,12/12/15,1/6/16,26,40,20000,,Hurricane/Tropical Storm,,,very large,6147.67,5.379775154,121.229,12.8357,284777,40,Lower middle income,East Asia & Pacific,300000
4317,Kenya,,12/1/15,1/6/16,37,112,100000,,Heavy Rain,,,very large,103769.52,6.760362791,39.5133,-2.03643,60937,75,Lower middle income,Sub-Saharan Africa,580370
4316,Australia,,12/23/15,1/6/16,15,0,0,,Heavy Rain,,,large,66654.94,5.999923601,152.121,-30.3571,1454675,12,High income: OECD,East Asia & Pacific,7741220
4315,Paraguay,Uruguay,12/1/15,1/6/16,37,12,170000,,Heavy Rain,,,extreme,574056.99,7.628186729,-55.8482,-26.0369,30881,101,Upper middle income,Latin America & Caribbean,406752
4314,United States,,12/15/15,1/6/16,23,31,4000,,Heavy Rain,,,extreme,526834.76,7.384432253,-91.0829,35.6658,17419000,1,High income: OECD,North America,9831510
4313,Albania,,11/21/15,12/4/15,14,1,300,,Heavy Rain,,,large,11409.69,5.203401881,19.9659,41.2871,13212,127,Upper middle income,Europe & Central Asia,28750
4312,Maldives,,11/25/15,12/4/15,10,0,0,,Heavy Rain,,,very large,6371.38,4.980324767,73.1892,-0.144295,3062,165,Upper middle income,South Asia,300
4311,United States,,11/26/15,12/4/15,9,14,300,,Heavy Rain,,,large,439381.83,6.597084603,-100.238,33.9839,17419000,1,High income: OECD,North America,9831510
4310,Qatar,Saudi Arabia,11/25/15,12/4/15,10,1,0,,Heavy Rain,,,large,402659.81,6.604938284,51.885,21.6586,210109,50,High income: nonOECD,Middle East & North Africa,11610
4309,India,,11/10/15,12/4/15,25,180,400000,,Hurricane/Tropical Storm,,,extreme,93202.05,6.668395469,78.8554,11.8278,2048517,9,Lower middle income,South Asia,3287260
4308,Indonesia,,10/23/15,10/28/15,6,0,4000,,Heavy Rain,,,large,56237.12,5.528174322,98.4028,3.66137,888538,16,Lower middle income,East Asia & Pacific,1910930
4307,Greece,Macedonia,10/21/15,10/28/15,8,1,0,,Heavy Rain,,,large,129124.64,6.014099111,21.698,39.7609,235574,45,High income: OECD,Europe & Central Asia,131960
4306,Bahamas,,10/2/15,10/8/15,7,0,300,,Hurricane/Tropical Storm,,,very large,4639.41,4.687652053,-73.8324,22.4916,8511,143,High income: nonOECD,Latin America & Caribbean,13880
4305,Egypt,,10/24/15,10/28/15,5,0,6,,Heavy Rain,,,very large,8231.84,4.790558184,30.4819,31.0422,286538,39,Lower middle income,Middle East & North Africa,1001450
